raLow;raHigh;decLow;con
4.5000;5.5000;36.0000;Per
13.5000;14.0833;36.0000;Boo
15.7500;16.3333;36.0000;CrB
20.9333;21.7333;36.0000;Lac
19.9167;20.0000;36.0000;Cyg
16.3333;17.2500;33.0000;Her
0.0667;1.0000;35.0000;And
23.5833;24.0000;35.0000;And
1.0000;1.6500;34.5000;Tri
5.5000;6.1000;33.0000;Aur
6.5000;7.2167;33.0000;Gem
9.1833;10.1667;33.0000;LMi
18.8667;19.4000;32.0000;Lyr
14.0833;14.9667;32.0000;Boo
6.1000;6.5000;30.0000;Gem
1.6500;1.9000;28.5000;Tri
5.1667;5.5000;28.0000;Aur
17.2500;18.1667;30.0000;Her
20.0000;20.5333;29.0000;Cyg
7.2167;7.8833;28.0000;Gem
0.0000;0.0667;28.0000;And
22.8667;23.5833;28.0000;And
23.5833;24.0000;28.0000;And
1.9000;2.1167;28.0000;Tri
10.1667;12.0000;28.0000;LMi
12.0000;12.3333;28.0000;Com
20.5333;20.9333;28.0000;Cyg
5.0333;5.1667;25.0000;Tau
7.8833;8.0000;28.0000;Gem
14.9667;15.7500;28.0000;Boo
2.1167;2.4833;25.0000;Tri
20.9333;21.7333;25.0000;Vul
19.2500;20.0000;24.0000;Vul
12.3333;13.2500;25.0000;Com
18.1667;18.8667;25.5000;Her
8.0000;8.0833;24.0000;Cnc
0.0000;0.7333;22.0000;And
0.7333;1.3833;22.0000;Psc
5.0333;5.5000;22.8333;Tau
4.0000;4.5000;22.0000;Per
6.5000;7.2167;22.0000;Gem
15.7500;16.3333;22.0000;Ser
18.8667;19.2500;21.5000;Vul
21.7333;22.0000;20.0000;Vul
3.2833;4.0000;22.0000;Per
16.3333;17.2500;20.0000;Her
22.0000;22.8667;20.0000;Peg
5.5000;5.7667;20.0000;Ori
7.2167;7.8833;20.0000;Gem
2.4833;3.2833;20.0000;Ari
13.2500;15.0000;20.0000;Boo
0.0000;0.7333;15.0000;Peg
8.0833;9.1833;20.0000;Cnc
17.2500;18.1667;18.2500;Oph
4.5000;5.0333;18.0000;Tau
22.8667;24.0000;15.0000;Peg
7.8833;8.0833;15.0000;Cnc
1.3833;2.4833;15.0000;Psc
9.1833;10.0000;16.0000;Leo
10.0000;10.1667;16.0000;Leo
15.0000;15.4333;15.0000;Ser
10.1667;11.0000;16.0000;Leo
11.0000;11.9333;16.0000;Leo
5.7667;6.5000;15.0000;Ori
18.1667;18.5000;16.0000;Her
12.0000;13.2500;15.0000;Com
15.4333;16.0833;15.0000;Ser
3.2833;4.5000;10.0000;Ari
4.5000;4.7667;10.0000;Tau
20.0000;21.3333;10.0000;Del
21.3333;21.7333;11.0000;Peg
6.5000;7.0000;10.0000;Mon
19.8333;20.0000;10.5000;Sge
16.0833;16.3333;10.5000;Her
18.5000;18.8667;12.0000;Her
11.9333;12.0000;10.0000;Leo
7.0000;7.8167;10.0000;CMi
9.1833;9.5833;10.0000;Leo
21.7333;22.0000;10.0000;Peg
0.0000;1.3833;10.0000;Psc
4.7667;5.0333;10.0000;Tau
16.3333;17.2500;10.0000;Oph
13.2500;13.5833;10.0000;Boo
22.0000;24.0000;10.0000;Peg
18.8667;19.0000;5.0000;Aql
5.0333;5.8333;5.0000;Ori
7.8167;8.0833;5.0000;CMi
15.0000;16.0833;5.0000;Ser
19.0000;19.8333;5.0000;Sge
13.5833;15.0000;5.0000;Boo
1.3833;2.0000;2.0000;Psc
9.5833;10.0000;6.0000;Leo
17.8333;18.0000;2.0000;Oph
19.8333;20.0000;2.0000;Aql
20.0000;20.5333;2.0000;Del
8.0833;9.1833;0.0000;Hya
10.0000;11.0000;0.0000;Sex
11.0000;11.9333;0.0000;Leo
2.0000;3.2833;0.0000;Psc
5.8333;6.2500;0.0000;Ori
6.2500;7.0000;0.0000;Mon
17.2500;17.8333;0.0000;Oph
4.5000;5.0333;0.0000;Tau
20.5333;21.3333;0.0000;Equ
21.3333;22.0000;0.0000;Peg
22.0000;24.0000;0.0000;Psc
0.0000;1.3833;0.0000;Psc
11.9333;12.8333;0.0000;Vir
14.2500;14.6667;0.0000;Ser
16.0833;16.7500;-2.0000;Oph
12.8333;13.5000;-2.0000;Vir
3.2833;4.5000;-2.0000;Cet
15.0000;16.0833;-4.0000;Ser
18.0000;18.5000;-4.0000;Ser
18.5000;19.0000;-5.0000;Aql
13.5000;14.2500;-5.0000;Vir
14.6667;15.0000;-4.0000;Ser
7.0000;8.0833;-5.0000;Mon
16.7500;17.2500;-5.0000;Oph
19.0000;20.0000;-5.0000;Aql
20.0000;20.8667;-5.0000;Aqr
4.5000;5.0333;-5.0000;Eri
5.0333;5.8333;-5.0000;Ori
5.8333;6.2500;-5.0000;Ori
6.2500;7.0000;-5.0000;Mon
9.1833;9.5833;-5.0000;Hya
10.0000;11.0000;-5.0000;Sex
0.0000;2.0000;-10.0000;Cet
2.0000;3.2833;-10.0000;Cet
14.2500;14.6667;-10.0000;Vir
8.0833;9.1833;-10.0000;Hya
11.0000;11.9333;-10.0000;Vir
11.9333;12.8333;-10.0000;Vir
17.2500;18.0000;-10.0000;Oph
12.8333;14.2500;-10.0000;Vir
22.0000;24.0000;-10.0000;Aqr
20.8667;22.0000;-10.0000;Aqr
9.5833;10.0000;-10.0000;Hya
5.8333;6.2500;-10.0000;Ori
5.0333;5.8333;-10.0000;Ori
4.5000;5.0333;-11.0000;Eri
14.6667;15.0000;-10.0000;Lib
15.0000;16.0833;-10.0000;Lib
6.2500;7.0000;-10.0000;Mon
16.0833;16.7500;-14.0000;Sco
16.7500;17.2500;-15.0000;Oph
7.0000;8.0833;-15.0000;Mon
18.0000;18.5000;-12.0000;Ser
18.5000;20.0000;-12.0000;Aql
20.0000;20.8667;-15.0000;Aqr
10.0000;11.0000;-15.0000;Hya
0.0000;2.0000;-20.0000;Cet
3.2833;4.5000;-15.0000;Eri
8.0833;9.1833;-15.0000;Hya
5.0333;6.2500;-15.0000;Lep
9.1833;10.0000;-15.0000;Hya
11.0000;11.9333;-15.0000;Crt
2.0000;3.2833;-20.0000;Cet
15.0000;16.0833;-20.0000;Lib
11.9333;12.8333;-20.0000;Crv
12.8333;14.2500;-20.0000;Vir
6.2500;7.0833;-20.0000;CMa
16.0833;16.7500;-20.0000;Sco
17.2500;18.0000;-20.0000;Sgr
18.0000;18.5000;-20.0000;Sct
14.2500;15.0000;-20.0000;Lib
20.8667;22.0000;-20.0000;Aqr
22.0000;24.0000;-20.0000;Aqr
18.5000;20.0000;-20.0000;Sgr
7.0833;8.0833;-20.0000;Pup
10.0000;11.0000;-20.0000;Hya
16.7500;17.2500;-25.0000;Oph
0.0000;2.0000;-25.0000;Cet
5.0333;6.2500;-25.0000;Lep
4.5000;5.0333;-25.0000;Eri
3.2833;3.5000;-25.0000;For
3.5000;4.5000;-25.0000;Eri
20.0000;20.8667;-25.0000;Cap
8.0833;9.1833;-25.0000;Hya
9.1833;10.0000;-25.0000;Hya
11.0000;11.9333;-25.0000;Hya
2.0000;3.2833;-30.0000;For
6.2500;7.0833;-30.0000;CMa
11.9333;14.2500;-25.0000;Hya
14.2500;15.0000;-25.0000;Lib
15.0000;16.0833;-25.0000;Sco
16.0833;16.7500;-25.0000;Sco
17.2500;18.0000;-30.0000;Sgr
10.0000;11.0000;-30.0000;Hya
18.0000;20.0000;-30.0000;Sgr
7.0833;8.0833;-30.0000;Pup
20.0000;20.8667;-28.0000;Cap
20.8667;22.0000;-25.0000;PsA
22.0000;24.0000;-28.0000;Aqr
3.2833;3.5000;-35.0000;For
4.5000;5.0333;-35.0000;Eri
5.0333;6.2500;-35.0000;Col
0.0000;2.0000;-30.0000;Scl
3.5000;4.5000;-35.0000;Eri
7.0833;8.0833;-35.0000;Pup
8.0833;11.0000;-35.0000;Hya
20.8667;22.0000;-30.0000;PsA
22.0000;24.0000;-30.0000;Scl
14.2500;15.0000;-30.0000;Lup
15.0000;16.0833;-30.0000;Sco
16.0833;17.2500;-30.0000;Sco
20.0000;20.8667;-33.0000;Cap
11.0000;11.9333;-35.0000;Hya
2.0000;3.2833;-40.0000;For
3.2833;3.5000;-40.0000;Eri
3.5000;5.0333;-40.0000;Eri
6.2500;7.0833;-40.0000;Pup
5.0333;6.2500;-40.0000;Col
14.2500;15.0000;-40.0000;Lup
15.0000;16.0833;-40.0000;Lup
16.0833;17.2500;-40.0000;Sco
17.2500;18.0000;-40.0000;CrA
11.9333;14.2500;-40.0000;Cen
18.0000;20.0000;-40.0000;Sgr
20.0000;22.0000;-40.0000;Mic
7.0833;8.0833;-40.0000;Pup
0.0000;2.0000;-40.0000;Scl
22.0000;24.0000;-40.0000;Scl
8.0833;11.0000;-45.0000;Vel
3.5000;6.2500;-50.0000;Cae
6.2500;7.0833;-50.0000;Pup
0.0000;2.3333;-50.0000;Phe
2.3333;3.5000;-50.0000;Eri
7.0833;8.0833;-50.0000;Vel
11.0000;11.9333;-50.0000;Cen
11.9333;14.2500;-50.0000;Cen
14.2500;15.0000;-50.0000;Lup
15.0000;16.0833;-50.0000;Nor
16.0833;17.2500;-50.0000;Sco
17.2500;18.0000;-50.0000;CrA
18.0000;20.0000;-50.0000;Tel
20.0000;22.0000;-50.0000;Gru
22.0000;24.0000;-50.0000;Phe
0.0000;2.3333;-60.0000;Phe
2.3333;5.0000;-60.0000;Hor
5.0000;6.5833;-60.0000;Pic
6.5833;8.0833;-60.0000;Vel
8.0833;11.0000;-60.0000;Vel
11.0000;12.8333;-60.0000;Cen
12.8333;14.5333;-60.0000;Cen
14.5333;15.3333;-60.0000;Lup
15.3333;16.4333;-60.0000;Nor
16.4333;17.8333;-60.0000;Ara
17.8333;19.1667;-60.0000;Tel
19.1667;20.5000;-60.0000;Ind
20.5000;22.0000;-60.0000;Gru
22.0000;24.0000;-60.0000;Phe
0.0000;1.3333;-70.0000;Tuc
1.3333;3.5000;-70.0000;Hor
3.5000;5.5833;-70.0000;Dor
5.5833;8.3333;-70.0000;Pic
8.3333;11.0000;-70.0000;Car
11.0000;12.8333;-70.0000;Cen
12.8333;14.5333;-70.0000;Cir
14.5333;16.4333;-70.0000;Nor
16.4333;17.8333;-70.0000;Ara
17.8333;19.1667;-70.0000;Pav
19.1667;22.0000;-70.0000;Ind
22.0000;24.0000;-70.0000;Tuc
0.0000;3.5000;-80.0000;Hyi
3.5000;6.5833;-80.0000;Dor
6.5833;8.3333;-80.0000;Vol
8.3333;11.0000;-80.0000;Car
11.0000;13.6667;-80.0000;Mus
13.6667;17.5000;-80.0000;TrA
17.5000;21.3333;-80.0000;Pav
21.3333;24.0000;-80.0000;Tuc
0.0000;24.0000;-90.0000;Oct
